Date,US1M_B,US3M_B,US6M_B,US1Y_B,US2Y_B,US3Y_B,US5Y_B,US7Y_B,US10Y_B,US20Y_B,US30Y_B,SW1Y_B,SW2Y_B,SW3Y_B,SW4Y_B,SW5Y_B,SW6Y_B,SW7Y_B,SW8Y_B,SW9Y_B,SW10Y_B,SW15Y_B,SW20Y_B,SW30Y_B,JP1Y_B,JP2Y_B,JP3Y_B,JP4Y_B,JP5Y_B,JP6Y_B,JP7Y_B,JP8Y_B,JP9Y_B,JP10Y_B,JP15Y_B,JP20Y_B,JP30Y_B,AU2Y_B,AU3Y_B,AU5Y_B,AU10Y_B,CA2Y_B,CA3Y_B,CA5Y_B,CA7Y_B,CA10Y_B,CA1M_B,CA3M_B,CA6M_B,CA1Y_B
1962-01-02,,,,3.22,,3.70,3.88,,4.06,4.07,,,,,,,,,,,,,,,10.327,9.362,8.83,8.515,8.348,8.29,8.24,8.121,8.127,,,,,,,,,,,,,,,,,
1962-01-03,,,,3.24,,3.70,3.87,,4.03,4.07,,,,,,,,,,,,,,,10.333,9.364,8.831,8.516,8.348,8.29,8.24,8.121,8.127,,,,,,,,,,,,,,,,,
1962-01-04,,,,3.24,,3.69,3.86,,3.99,4.06,,,,,,,,,,,,,,,10.34,9.366,8.832,8.516,8.348,8.29,8.24,8.122,8.128,,,,,,,,,,,,,,,,,
1962-01-05,,,,3.26,,3.71,3.89,,4.02,4.07,,,,,,,,,,,,,,,10.347,9.367,8.833,8.517,8.349,8.29,8.24,8.122,8.128,,,,,,,,,,,,,,,,,
1962-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962-01-08,,,,3.31,,3.71,3.91,,4.03,4.08,,,,,,,,,,,,,,,10.354,9.369,8.834,8.518,8.349,8.291,8.24,8.122,8.129,,,,,,,,,,,,,,,,,
1962-01-09,,,,3.32,,3.74,3.93,,4.05,4.08,,,,,,,,,,,,,,,10.368,9.373,8.836,8.519,8.35,8.291,8.24,8.122,8.13,,,,,,,,,,,,,,,,,
1962-01-10,,,,3.33,,3.75,3.94,,4.07,4.09,,,,,,,,,,,,,,,10.374,9.374,8.837,8.519,8.354,8.298,8.244,8.119,8.201,,,,,,,,,,,,,,,,,
1962-01-11,,,,3.33,,3.77,3.94,,4.08,4.08,,,,,,,,,,,,,,,10.381,9.376,8.838,8.52,8.354,8.298,8.244,8.119,8.202,,,,,,,,,,,,,,,,,
1962-01-12,,,,3.30,,3.76,3.95,,4.08,4.09,,,,,,,,,,,,,,,10.388,9.378,8.839,8.52,8.354,8.298,8.244,8.12,8.203,,,,,,,,,,,,,,,,,
1962-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962-01-15,,,,3.32,,3.79,3.96,,4.10,4.10,,,,,,,,,,,,,,,10.395,9.379,8.84,8.521,8.355,8.298,8.244,8.12,8.204,,,,,,,,,,,,,,,,,
1962-01-16,,,,3.30,,3.81,3.98,,4.13,4.11,,,,,,,,,,,,,,,10.402,9.381,8.841,8.522,8.355,8.299,8.244,8.12,8.204,,,,,,,,,,,,,,,,,
1962-01-17,,,,3.30,,3.81,3.97,,4.12,4.10,,,,,,,,,,,,,,,10.416,9.385,8.843,8.523,8.356,8.299,8.244,8.12,8.206,,,,,,,,,,,,,,,,,
1962-01-18,,,,3.27,,3.79,3.96,,4.11,4.10,,,,,,,,,,,,,,,10.423,9.386,8.844,8.523,8.357,8.299,8.244,8.121,8.207,,,,,,,,,,,,,,,,,
1962-01-19,,,,3.27,,3.78,3.95,,4.11,4.10,,,,,,,,,,,,,,,10.43,9.388,8.845,8.524,8.357,8.3,8.244,8.121,8.208,,,,,,,,,,,,,,,,,
1962-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962-01-22,,,,3.25,,3.76,3.93,,4.09,4.09,,,,,,,,,,,,,,,10.444,9.391,8.847,8.525,8.358,8.3,8.244,8.121,8.209,,,,,,,,,,,,,,,,,
1962-01-23,,,,3.25,,3.77,3.94,,4.11,4.10,,,,,,,,,,,,,,,10.451,9.393,8.847,8.526,8.359,8.3,8.244,8.122,8.21,,,,,,,,,,,,,,,,,
1962-01-24,,,,3.24,,3.76,3.93,,4.10,4.10,,,,,,,,,,,,,,,10.465,9.396,8.85,8.527,8.359,8.301,8.244,8.122,8.212,,,,,,,,,,,,,,,,,
1962-01-25,,,,3.27,,3.77,3.94,,4.11,4.12,,,,,,,,,,,,,,,10.472,9.398,8.851,8.528,8.36,8.301,8.244,8.122,8.212,,,,,,,,,,,,,,,,,
1962-01-26,,,,3.28,,3.80,3.97,,4.11,4.12,,,,,,,,,,,,,,,10.479,9.4,8.852,8.528,8.36,8.301,8.245,8.123,8.213,,,,,,,,,,,,,,,,,
1962-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962-01-29,,,,3.28,,3.80,3.98,,4.12,4.13,,,,,,,,,,,,,,,10.487,9.401,8.853,8.529,8.361,8.301,8.245,8.123,8.214,,,,,,,,,,,,,,,,,
1962-01-30,,,,3.28,,3.80,3.98,,4.11,4.13,,,,,,,,,,,,,,,10.494,9.403,8.854,8.53,8.361,8.302,8.245,8.123,8.215,,,,,,,,,,,,,,,,,
1962-01-31,,,,3.29,,3.81,3.99,,4.10,4.13,,,,,,,,,,,,,,,10.515,9.408,8.857,8.531,8.362,8.302,8.245,8.124,8.217,,,,,,,,,,,,,,,,,
1962-02-01,,,,3.30,,3.81,4.00,,4.09,4.13,,,,,,,,,,,,,,,10.523,9.41,8.858,8.532,8.363,8.303,8.245,8.124,8.218,,,,,,,,,,,,,,,,,
1962-02-02,,,,3.30,,3.77,3.97,,4.08,4.13,,,,,,,,,,,,,,,10.53,9.411,8.859,8.533,8.363,8.303,8.245,8.124,8.219,,,,,,,,,,,,,,,,,
1962-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962-02-05,,,,3.29,,3.77,3.96,,4.07,4.12,,,,,,,,,,,,,,,10.537,9.413,8.86,8.533,8.364,8.303,8.245,8.125,8.219,,,,,,,,,,,,,,,,,
1962-02-06,,,,3.29,,3.77,3.96,,4.06,4.13,,,,,,,,,,,,,,,10.545,9.415,8.861,8.534,8.364,8.303,8.245,8.125,8.22,,,,,,,,,,,,,,,,,
1962-02-07,,,,3.29,,3.77,3.95,,4.07,4.13,,,,,,,,,,,,,,,10.552,9.416,8.862,8.534,8.365,8.303,8.245,8.125,8.221,,,,,,,,,,,,,,,,,
1962-02-08,,,,3.30,,3.75,3.93,,4.07,4.12,,,,,,,,,,,,,,,10.567,9.419,8.864,8.536,8.366,8.304,8.245,8.126,8.223,,,,,,,,,,,,,,,,,
1962-02-09,,,,3.28,,3.73,3.91,,4.05,4.11,,,,,,,,,,,,,,,10.574,9.421,8.865,8.536,8.366,8.304,8.245,8.126,8.223,,,,,,,,,,,,,,,,,
1962-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962-02-12,,,,ND,,ND,ND,,ND,ND,,,,,,,,,,,,,,,10.582,9.423,8.866,8.537,8.366,8.304,8.245,8.127,8.224,,,,,,,,,,,,,,,,,
1962-02-13,,,,3.28,,3.72,3.91,,4.03,4.10,,,,,,,,,,,,,,,10.589,9.424,8.867,8.537,8.367,8.305,8.245,8.127,8.225,,,,,,,,,,,,,,,,,
1962-02-14,,,,3.31,,3.71,3.90,,4.03,4.09,,,,,,,,,,,,,,,10.596,9.426,8.868,8.538,8.367,8.305,8.245,8.127,8.226,,,,,,,,,,,,,,,,,
1962-02-15,,,,3.33,,3.71,3.90,,4.02,4.10,,,,,,,,,,,,,,,10.604,9.428,8.869,8.539,8.368,8.305,8.245,8.127,8.226,,,,,,,,,,,,,,,,,
1962-02-16,,,,3.33,,3.69,3.88,,4.02,4.12,,,,,,,,,,,,,,,10.626,9.432,8.872,8.541,8.369,8.306,8.245,8.128,8.229,,,,,,,,,,,,,,,,,
1962-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962-02-19,,,,3.32,,3.67,3.86,,4.01,4.11,,,,,,,,,,,,,,,10.634,9.434,8.873,8.541,8.369,8.306,8.245,8.129,8.23,,,,,,,,,,,,,,,,,
1962-02-20,,,,3.31,,3.67,3.88,,4.05,4.15,,,,,,,,,,,,,,,10.642,9.435,8.874,8.542,8.37,8.306,8.245,8.129,8.23,,,,,,,,,,,,,,,,,
