currency_pair,open_date,position,trade_amount,result
JP/SW,2010-01-04,short,199.69122309157027,22.575072801379715
AU/SW,2010-01-04,short,43.137991230514736,15.331242083324934
CA/SW,2010-01-04,short,63.92705214792971,18.503685244218246
AU/JP,2010-01-04,short,26.39844731354346,6.397666346281986
CA/JP,2010-01-04,short,45.98863431128988,8.112399691374959
CA/AU,2010-01-04,short,97.21253142145481,-6.411166447244951
JP/SW,2010-01-05,short,198.66466985144035,22.459021060238353
AU/SW,2010-01-05,short,43.00022924527489,15.282281473770693
CA/SW,2010-01-05,short,64.91705214792971,18.790240744218245
AU/JP,2010-01-05,short,26.660283132414442,6.461122283168951
CA/JP,2010-01-05,short,46.859597252666205,8.266037641330037
CA/AU,2010-01-05,short,98.20253142145481,-6.476456947244951
CA/AU,2010-01-06,short,97.4225314214548,-6.425015947244951
CA/JP,2010-01-06,short,45.81229406317414,8.081293253973318
AU/JP,2010-01-06,short,26.92473221610325,6.525211545045842
JP/SW,2010-01-06,short,198.74179937550304,22.46774054522069
AU/SW,2010-01-06,short,43.41290294534224,15.428945706774629
CA/SW,2010-01-06,short,64.13705214792971,18.564469744218247
JP/SW,2010-01-07,short,198.16102684068608,22.402084268236884
AU/SW,2010-01-07,short,42.89017587563738,15.243168506201522
CA/SW,2010-01-07,short,63.287052147929714,18.31843724421825
AU/JP,2010-01-07,short,26.613111702281145,6.449690282359003
CA/JP,2010-01-07,short,44.914733506741676,7.922963482062575
CA/AU,2010-01-07,short,96.57253142145481,-6.368958447244951
CA/AU,2010-01-08,short,97.18253142145481,-6.409187947244951
CA/JP,2010-01-08,short,45.84449822047727,8.086974070542006
AU/JP,2010-01-08,short,27.541744754434472,6.674744595411667
AU/SW,2010-01-08,short,43.70899400930962,15.534176470908637
JP/SW,2010-01-08,short,199.07082255973248,22.504936583295507
CA/SW,2010-01-08,short,63.89705214792971,18.495001744218246
JP/SW,2010-01-11,short,199.861213473071,22.594290197009336
AU/SW,2010-01-11,short,44.48901467576416,15.81139581576658
CA/SW,2010-01-11,short,64.52705214792971,18.677355244218248
AU/JP,2010-01-11,short,28.204256709967922,6.835304434086394
CA/JP,2010-01-11,short,46.454278514477785,8.194539375381725
CA/AU,2010-01-11,short,97.8125314214548,-6.45073644724495
CA/AU,2010-01-12,short,99.0825314214548,-6.53449294724495
AU/JP,2010-01-12,short,28.213404584896352,6.837521422490087
CA/JP,2010-01-12,short,47.93492419819568,8.45572542205413
AU/SW,2010-01-12,short,44.35101285983771,15.76234997038632
JP/SW,2010-01-12,short,200.46739973411758,22.662819493202026
CA/SW,2010-01-12,short,65.7970521479297,19.044956744218243
JP/SW,2010-01-13,short,201.66064264017027,22.797715484406993
AU/SW,2010-01-13,short,44.55945236371717,15.83642937006508
CA/SW,2010-01-13,short,65.27705214792971,18.894442744218246
AU/JP,2010-01-13,short,27.683399569074208,6.7090746539050885
CA/JP,2010-01-13,short,48.19671860963772,8.501905982411946
CA/AU,2010-01-13,short,98.5625314214548,-6.500198947244951
CA/JP,2010-01-14,short,48.54401186821169,8.56316854795372
JP/SW,2010-01-14,short,202.15564646654923,22.85367561747875
AU/SW,2010-01-14,short,44.25241326747754,15.727307675261516
CA/SW,2010-01-14,short,65.82705214792969,19.05364024421824
AU/JP,2010-01-14,short,27.707810564412206,6.714990661066352
CA/AU,2010-01-14,short,99.1125314214548,-6.536471447244951
CA/AU,2010-01-15,short,99.21253142145481,-6.543066447244951
CA/JP,2010-01-15,short,48.68935094143201,8.588806375003692
AU/JP,2010-01-15,short,26.589842394814855,6.4440509633676175
CA/SW,2010-01-15,short,65.92705214792971,19.082585244218247
AU/SW,2010-01-15,short,43.506636995439294,15.462258788179122
JP/SW,2010-01-15,short,201.52966235918805,22.78290817673998
JP/SW,2010-01-19,short,202.24021679125394,22.863236284229586
AU/SW,2010-01-19,short,43.132892980594804,15.32943016530339
CA/SW,2010-01-19,short,65.68705214792972,19.01311724421825
AU/JP,2010-01-19,short,26.28466550177616,6.370091312822
CA/JP,2010-01-19,short,47.84303484715975,8.439516131342456
CA/AU,2010-01-19,short,98.97253142145482,-6.527238447244952
CA/JP,2010-01-20,short,50.847885876653045,8.969572153430176
AU/JP,2010-01-20,short,26.30946966226021,6.376102603595726
CA/AU,2010-01-20,short,98.84253142145481,-6.518664947244951
AU/SW,2010-01-20,short,42.30069280006724,15.033666221143895
JP/SW,2010-01-20,short,201.3286245754209,22.76018087538888
CA/SW,2010-01-20,short,65.55705214792971,18.975488744218246
CA/JP,2010-01-21,short,51.10492337801558,9.014913594374278
AU/JP,2010-01-21,short,26.20472685889288,6.3507181747253725
CA/AU,2010-01-21,short,99.82253142145481,-6.5832959472449515
AU/SW,2010-01-21,short,42.50069280006724,15.104746221143895
JP/SW,2010-01-21,short,200.61241631570738,22.679213603249096
CA/SW,2010-01-21,short,66.53705214792971,19.25914974421825
JP/SW,2010-01-22,short,199.62459922741888,22.56754098019979
AU/SW,2010-01-22,short,42.44658911088054,15.085517770006941
CA/SW,2010-01-22,short,67.2070521479297,19.453081244218243
AU/JP,2010-01-22,short,27.14326487507066,6.578172956799859
CA/JP,2010-01-22,short,53.292270506935616,9.400761846650484
CA/AU,2010-01-22,short,100.4925314214548,-6.62748244724495
CA/JP,2010-01-25,short,51.36100047263582,9.060085619472998
CA/AU,2010-01-25,short,99.98253142145481,-6.593847947244951
CA/SW,2010-01-25,short,66.69705214792971,19.305461744218245
AU/SW,2010-01-25,short,42.66652010567867,15.163681245558196
JP/SW,2010-01-25,short,200.81333760704777,22.701927735143
AU/JP,2010-01-25,short,27.667848486903914,6.7053058475860094
JP/SW,2010-01-26,short,199.78856551122115,22.586077352187008
AU/SW,2010-01-26,short,41.520266308613095,14.75630264608109
CA/SW,2010-01-26,short,67.38705214792971,19.505182244218247
AU/JP,2010-01-26,short,24.33797946082975,5.898311756130034
CA/JP,2010-01-26,short,52.42268322207706,9.247366562642707
CA/AU,2010-01-26,short,100.6725314214548,-6.639353447244951
CA/JP,2010-01-27,short,51.91514318525432,9.157836449393173
CA/AU,2010-01-27,short,100.36253142145482,-6.618908947244952
AU/JP,2010-01-27,short,26.760066807056205,6.485304866696749
CA/SW,2010-01-27,short,67.07705214792972,19.41545274421825
AU/SW,2010-01-27,short,41.781545797997644,14.849161376608361
JP/SW,2010-01-27,short,200.17820395850117,22.63012593968817
JP/SW,2010-01-28,short,199.74014227832032,22.58060311054989
AU/SW,2010-01-28,short,41.59042629037886,14.781237503600643
CA/SW,2010-01-28,short,67.11705214792971,19.427030744218246
AU/JP,2010-01-28,short,26.665068362955612,6.462281984269127
CA/JP,2010-01-28,short,51.82095718251796,9.141222029091878
CA/AU,2010-01-28,short,100.40253142145481,-6.621546947244951
AU/JP,2010-01-29,short,25.429390036542042,6.162815218294965
CA/SW,2010-01-29,short,66.6670521479297,19.296778244218242
CA/JP,2010-01-29,short,51.04341993514871,9.004064380902218
JP/SW,2010-01-29,short,198.37597230681678,22.426383831688412
AU/SW,2010-01-29,short,40.860398275534685,14.521785547125024
CA/AU,2010-01-29,short,99.9525314214548,-6.59186944724495
CA/AU,2010-02-01,short,99.5125314214548,-6.56285144724495
AU/JP,2010-02-01,short,26.351103551915944,6.386192580917181
CA/JP,2010-02-01,short,50.647243946364064,8.934178896863008
AU/SW,2010-02-01,short,41.14737401597361,14.623776725277018
JP/SW,2010-02-01,short,198.03490824628645,22.387826573751866
CA/SW,2010-02-01,short,66.2270521479297,19.16942024421824
JP/SW,2010-02-02,short,198.06817832212786,22.39158775249873
AU/SW,2010-02-02,short,41.40425284623487,14.71507146155187
CA/SW,2010-02-02,short,66.5670521479297,19.267833244218245
AU/JP,2010-02-02,short,26.826850851636706,6.501489986579238
CA/JP,2010-02-02,short,51.25506085359186,9.04139786007968
CA/AU,2010-02-02,short,99.8525314214548,-6.5852744472449505
JP/SW,2010-02-03,short,197.26790639585946,22.30111709126128
AU/SW,2010-02-03,short,41.1771040555749,14.634342781351318
CA/SW,2010-02-03,short,65.82705214792969,19.05364024421824
AU/JP,2010-02-03,short,26.282441870661533,6.369552415599007
CA/JP,2010-02-03,short,49.74620756223707,8.775235988599366
CA/AU,2010-02-03,short,99.1125314214548,-6.536471447244951
CA/AU,2010-02-04,short,101.3225314214548,-6.68222094724495
CA/JP,2010-02-04,short,51.60988067473329,9.103988112011011
AU/JP,2010-02-04,short,25.628487406297197,6.211066485764864
JP/SW,2010-02-04,short,195.81789941115545,22.13719394664119
AU/SW,2010-02-04,short,40.36680285492308,14.34636173463966
CA/SW,2010-02-04,short,68.0370521479297,19.69332474421824
JP/SW,2010-02-05,short,194.1590604521092,21.94966236820491
AU/SW,2010-02-05,short,39.58203469844261,14.067455131826502
CA/SW,2010-02-05,short,68.0470521479297,19.696219244218245
AU/JP,2010-02-05,short,25.3515498067167,6.14395063081277
CA/JP,2010-02-05,short,53.45570347106443,9.429591437866105
CA/AU,2010-02-05,short,101.3325314214548,-6.68288044724495
CA/AU,2010-02-08,short,101.1025314214548,-6.667711947244951
AU/JP,2010-02-08,short,25.318068031011908,6.135836319122537
CA/JP,2010-02-08,short,51.973991360673025,9.168217273421849
AU/SW,2010-02-08,short,39.915435879911364,14.185945911720497
JP/SW,2010-02-08,short,194.306695209174,21.966352462727606
CA/SW,2010-02-08,short,67.8170521479297,19.629645744218244
JP/SW,2010-02-09,short,194.9776308668717,22.042201671736766
AU/SW,2010-02-09,short,40.34621729167067,14.339045625459754
CA/SW,2010-02-09,short,67.4570521479297,19.525443744218244
AU/JP,2010-02-09,short,25.966561421762314,6.292998757220237
CA/JP,2010-02-09,short,52.97720662096103,9.345184545658178
CA/AU,2010-02-09,short,100.7425314214548,-6.64396994724495
CA/JP,2010-02-10,short,53.1328305130646,9.372636615787638
AU/JP,2010-02-10,short,25.740633255486976,6.238245043530592
CA/AU,2010-02-10,short,100.4225314214548,-6.622865947244951
AU/SW,2010-02-10,short,40.14680285492308,14.26817373463966
JP/SW,2010-02-10,short,194.0659872391705,21.93914045078951
CA/SW,2010-02-10,short,67.13705214792971,19.432819744218246
CA/JP,2010-02-11,short,52.143355082157264,9.19809305082804
AU/JP,2010-02-11,short,25.426109783356676,6.162020248607466
CA/AU,2010-02-11,short,100.6125314214548,-6.6353964472449505
JP/SW,2010-02-11,short,195.12317719754435,22.058655669864677
CA/SW,2010-02-11,short,67.3270521479297,19.487815244218243
AU/SW,2010-02-11,short,39.753591772860695,14.128426516074688
JP/SW,2010-02-12,short,194.86563830009794,22.02954092326225
AU/SW,2010-02-12,short,39.28580377681696,13.962174662280747
CA/SW,2010-02-12,short,67.07705214792972,19.41545274421825
AU/JP,2010-02-12,short,24.615528371627327,5.965575762416718
CA/JP,2010-02-12,short,53.51181329896744,9.439489217119178
CA/AU,2010-02-12,short,100.36253142145482,-6.618908947244952
CA/AU,2010-02-16,short,100.1225314214548,-6.60308094724495
AU/JP,2010-02-16,short,25.413267570430886,6.15890793702068
CA/JP,2010-02-16,short,52.74548704384887,9.304309189083636
CA/SW,2010-02-16,short,66.8370521479297,19.345984744218242
JP/SW,2010-02-16,short,196.00695001639087,22.158566098657992
AU/SW,2010-02-16,short,40.300548237400044,14.322814843571972
JP/SW,2010-02-17,short,195.09954441925748,22.055983986642623
AU/SW,2010-02-17,short,39.173015135643205,13.922089579207592
CA/SW,2010-02-17,short,65.6270521479297,18.995750244218243
AU/JP,2010-02-17,short,24.562062329976186,5.952618261875959
CA/JP,2010-02-17,short,51.23761913846704,9.038321139787492
CA/AU,2010-02-17,short,98.9125314214548,-6.52328144724495
CA/JP,2010-02-18,short,50.788284503711324,8.95905846528312
AU/JP,2010-02-18,short,24.615553327779715,5.965581810542744
CA/AU,2010-02-18,short,98.6825314214548,-6.508112947244951
AU/SW,2010-02-18,short,39.16428776501941,13.918987871687897
JP/SW,2010-02-18,short,194.39542202305282,21.976383020163926
CA/SW,2010-02-18,short,65.3970521479297,18.929176744218243
CA/JP,2010-02-19,short,50.315596433163414,8.87567624236966
AU/JP,2010-02-19,short,24.50247403970457,5.938177033769804
CA/AU,2010-02-19,short,98.18253142145481,-6.475137947244951
AU/SW,2010-02-19,short,39.13841916589599,13.909794171559431
CA/SW,2010-02-19,short,64.89705214792971,18.78445174421825
JP/SW,2010-02-19,short,192.77737779343994,21.793463281810613
JP/SW,2010-02-22,short,193.20021004252945,21.84126442528696
AU/SW,2010-02-22,short,39.232817571241384,13.943343364819185
CA/SW,2010-02-22,short,65.55705214792971,18.975488744218246
AU/JP,2010-02-22,short,24.51651385562903,5.941579584563078
CA/JP,2010-02-22,short,50.91972609418094,8.98224477498612
CA/AU,2010-02-22,short,98.84253142145481,-6.518664947244951
CA/AU,2010-02-23,short,100.0625314214548,-6.5991239472449505
CA/JP,2010-02-23,short,52.58001066636212,9.275119139547336
AU/JP,2010-02-23,short,24.017275384933324,5.820589091266127
AU/SW,2010-02-23,short,38.60135957495168,13.718923192937824
JP/SW,2010-02-23,short,192.69552366396587,21.784209680658982
CA/SW,2010-02-23,short,66.77705214792971,19.328617744218246
JP/SW,2010-02-24,short,192.11685160829032,21.718790862632066
AU/SW,2010-02-24,short,38.755026917163114,13.773536566359768
CA/SW,2010-02-24,short,66.8270521479297,19.343090244218246
AU/JP,2010-02-24,short,24.250781533527476,5.877179329728535
CA/JP,2010-02-24,short,52.290077765567275,9.223974946853836
CA/AU,2010-02-24,short,100.1125314214548,-6.602421447244951
CA/JP,2010-02-25,short,53.11168392117762,9.368906354864116
AU/JP,2010-02-25,short,24.366708915270884,5.905274342286788
CA/AU,2010-02-25,short,101.36253142145479,-6.68485894724495
AU/SW,2010-02-25,short,39.00542654595838,13.862528594433606
JP/SW,2010-02-25,short,190.5968516082903,21.546955014632065
CA/SW,2010-02-25,short,68.07705214792969,19.70490274421824
CA/JP,2010-02-26,short,53.676120574071696,9.468473036878295
AU/JP,2010-02-26,short,24.962692337926697,6.049710984365766
CA/AU,2010-02-26,short,101.70253142145481,-6.707281947244951
AU/SW,2010-02-26,short,39.58382280310636,14.068090624223997
JP/SW,2010-02-26,short,190.6068516082903,21.548085513632063
CA/SW,2010-02-26,short,68.4170521479297,19.803315744218242
JP/SW,2010-03-01,short,188.218673651978,21.278102234488756
AU/SW,2010-03-01,short,39.15701741762515,13.916403990223975
CA/SW,2010-03-01,short,68.1870521479297,19.736742244218245
AU/JP,2010-03-01,short,24.389840779369585,5.910880351864295
CA/JP,2010-03-01,short,52.96343092824068,9.34275451208474
CA/AU,2010-03-01,short,101.4725314214548,-6.69211344724495
CA/JP,2010-03-02,short,55.23190880416236,9.742914236245111
CA/AU,2010-03-02,short,101.97253142145479,-6.72508844724495
AU/JP,2010-03-02,short,25.701078836737643,6.228659026191249
JP/SW,2010-03-02,short,187.57373489997963,21.205191973069212
AU/SW,2010-03-02,short,39.463128728600985,14.025195950144788
CA/SW,2010-03-02,short,68.68705214792969,19.88146724421824
JP/SW,2010-03-03,short,189.14203266753253,21.382487878861294
AU/SW,2010-03-03,short,40.09433867753335,14.24952796599535
CA/SW,2010-03-03,short,69.02705214792971,19.979880244218247
